Code;Ward name;LAD code;Borough;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13;;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13
E05000142;Regent's Park;E09000007;Camden;38410;38560;39970;42130;42600;45000;45530;48570;48360;49980;51560;52460;;25510;25690;26250;27620;27510;28960;29660;30440;31620;32330;33760;34260
E05000143;St Pancras and Somers Town;E09000007;Camden;30710;31150;32610;34740;35490;37870;38720;41720;41960;43790;45610;46850;;20300;20640;21310;22660;22810;24260;25110;26030;27320;28220;29760;30500
E05000144;Swiss Cottage;E09000007;Camden;56880;57390;59720;63160;64050;67800;68750;73460;73280;75840;78370;79860;;36250;36690;37660;39790;39760;41970;43090;44330;46160;47300;49500;50340
E05000145;West Hampstead;E09000007;Camden;51190;51740;53930;57120;57990;61460;62360;66670;66520;68850;71130;72450;;33150;33590;34520;36510;36530;38580;39640;40790;42480;43530;45540;46290
E05000146;Addiscombe;E09000008;Croydon;32950;33240;34610;36620;37160;39370;39950;42720;42640;44160;45640;46520;;27380;27700;28430;30040;30030;31710;32570;33520;34910;35780;37450;38070
E05000147;Ashburton;E09000008;Croydon;32810;33190;34640;36730;37350;39650;40300;43160;43130;44720;46280;47220;;27270;27660;28450;30130;30170;31910;32830;33840;35280;36210;37930;38600
E05000148;Bensham Manor;E09000008;Croydon;29330;29500;30630;32340;32750;34640;35100;37500;37390;38690;39980;40730;;24550;24760;25350;26720;26660;28100;28820;29620;30810;31550;33000;33530
E05000149;Broad Green;E09000008;Croydon;26390;26620;27720;29350;29810;31610;32120;34390;34370;35650;36900;37670;;22130;22380;22970;24270;24280;25650;26380;27170;28330;29070;30460;31000
E05000150;Coulsdon East;E09000008;Croydon;36680;37100;38710;41060;41740;44300;45030;48220;48190;49960;51700;52750;;30140;30570;31440;33290;33340;35270;36280;37390;38990;40010;41920;42660
E05000151;Coulsdon West;E09000008;Croydon;40160;40710;42550;45180;45990;48850;49690;53240;53240;55230;57190;58380;;32600;33130;34120;36170;36260;38380;39520;40750;42520;43660;45770;46610
E05000152;Croham;E09000008;Croydon;36010;36460;38070;40410;41110;43660;44400;47580;47580;49360;51110;52180;;29650;30100;30980;32820;32900;34810;35840;36950;38550;39580;41500;42260
E05000153;Fairfield;E09000008;Croydon;34500;34750;36100;38140;38630;40860;41400;44210;44070;45580;47060;47920;;28540;28830;29550;31170;31110;32810;33650;34590;35980;36840;38520;39130
E05000154;Fieldway;E09000008;Croydon;21910;22190;23200;24670;25160;26800;27350;29410;29530;30750;31960;32760;;18160;18440;19000;20170;20270;21520;22230;23000;24090;24830;26140;26720
E05000155;Heathfield;E09000008;Croydon;33830;34220;35710;37880;38520;40890;41570;44530;44520;46170;47790;48780;;28040;28440;29260;30980;31030;32830;33780;34820;36320;37270;39060;39770
E05000156;Kenley;E09000008;Croydon;38390;38810;40460;42870;43550;46190;46910;50210;50150;51980;53770;54850;;31360;31790;32680;34570;34600;36580;37610;38740;40380;41420;43390;44160
E05000157;New Addington;E09000008;Croydon;23470;23770;24860;26430;26960;28720;29300;31510;31620;32920;34220;35060;;19590;19890;20500;21760;21860;23210;23960;24800;25960;26750;28150;28770
E05000158;Norbury;E09000008;Croydon;32890;33040;34250;36100;36500;38550;38990;41580;41390;42760;44110;44870;;27330;27540;28160;29650;29540;31090;31850;32690;33960;34730;36270;36810
E05000159;Purley;E09000008;Croydon;38320;38810;40530;43010;43760;46470;47260;50630;50620;52500;54360;55480;;31310;31790;32730;34670;34750;36770;37850;39020;40710;41790;43800;44600
E05000160;Sanderstead;E09000008;Croydon;40040;40660;42570;45290;46170;49120;50020;53660;53710;55760;57770;59000;;32520;33090;34140;36250;36390;38560;39750;41030;42840;44010;46160;47030
